batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
Tamim Iqbal,11,11,2,0,100.00,c Junaid Khan b Mohammad Irfan,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
Tamim Iqbal,51,51,3,1,100.00,c Watson b Russell,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Tamim Iqbal,39,29,2,2,134.48,c Shadab Khan b Russell,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Tamim Iqbal,55,47,7,0,117.02,not out,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Tamim Iqbal,11,12,2,0,91.66,c †Mohammad Rizwan b Mohammad Amir,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Tamim Iqbal,14,19,1,0,73.68,c Mohammad Nabi b Mohammad Nawaz,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Tamim Iqbal,62,46,4,4,134.78,not out,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Tamim Iqbal,36,38,3,1,94.73,run out (Anwar Ali/†Sarfaraz Ahmed),2018,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Tamim Iqbal,37,35,3,0,105.71,c Simmons b Bopara,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Tamim Iqbal,4,8,0,0,50.00,c Misbah-ul-Haq b Rumman Raees,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
Tamim Iqbal,16,11,3,0,145.45,c †Sangakkara b Sohail Khan,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Tamim Iqbal,80,58,6,3,137.93,not out,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
Tamim Iqbal,37,35,4,0,105.71,not out,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Tamim Iqbal,5,3,1,0,166.66,c & b Aamer Yamin,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Tamim Iqbal,30,22,4,1,136.36,c †Mohammad Rizwan b Delport,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Tamim Iqbal,7,13,0,0,53.84,st †Sarfaraz Ahmed b Mahmudullah,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Tamim Iqbal,27,29,5,0,93.10,c Kohler-Cadmore b Mohammad Nawaz,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Tamim Iqbal,18,10,2,1,180.00,c †Imam-ul-Haq b Mahmood,2020,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Tamim Iqbal,30,20,5,0,150.00,c Khushdil Shah b Junaid Khan,2020,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
Tamim Iqbal,35,38,4,1,92.10,c Iftikhar Ahmed b Umaid Asif,2020,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Kamran Akmal †,0,4,0,0,0.00,c Viljoen b Mohammad Irfan,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
Kamran Akmal †,88,48,6,6,183.33,c Misbah-ul-Haq b Mohammad Sami,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Kamran Akmal †,0,6,0,0,0.00,c Imad Wasim b Sohail Khan,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Kamran Akmal †,8,8,1,0,100.00,lbw b Saeed Ajmal,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Kamran Akmal †,53,32,7,3,165.62,c Walton b Patel,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Kamran Akmal †,3,13,0,0,23.07,c Elliott b Yasir Shah,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Kamran Akmal †,14,5,2,1,280.00,lbw b Mohammad Amir,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Kamran Akmal †,6,8,0,0,75.00,c Mohammad Nawaz b Zulfiqar Babar,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,0,3,0,0,0.00,c Asad Shafiq b Hassan Khan,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,10,8,2,0,125.00,c sub (CJ Green) b Watson,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,30,20,2,2,150.00,c Vince b Mohammad Amir,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Kamran Akmal †,19,17,3,0,111.76,lbw b Shadab Khan,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
Kamran Akmal †,14,12,1,1,116.66,c Bopara b Sohail Khan,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Karachi Kings
Kamran Akmal †,10,10,0,1,100.00,st †Haddin b Saeed Ajmal,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Islamabad United
Kamran Akmal †,57,47,7,2,121.27,not out,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Kamran Akmal †,58,40,9,0,145.00,st †Mohammad Rizwan b Yasir Shah,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Kamran Akmal †,18,20,1,0,90.00,c Azhar Ali b Delport,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Kamran Akmal †,9,12,1,0,75.00,c Shoaib Malik b Mohammad Irfan,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Multan Sultans
Kamran Akmal †,26,30,1,1,86.66,lbw b Mohammad Nawaz,2017,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,17,27,0,0,62.96,c Chigumbura b Zulfiqar Babar,2016,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,1,7,0,0,14.28,c Pietersen b Zulfiqar Babar,2017,Sharjah Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,8,9,1,0,88.88,run out (Bopara/Usama Mir),2016,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Kamran Akmal †,22,17,3,1,129.41,lbw b Patel,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Kamran Akmal †,104,65,6,7,160.00,run out (Bopara/Mohammad Amir),2017,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings
Kamran Akmal †,9,13,2,0,69.23,b Anwar Ali,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,40,32,6,1,125.00,lbw b Hassan Khan,2017,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,0,1,0,0,0.00,b Mohammad Nawaz,2018,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,45,32,5,2,140.62,c †Haddin b Imran Khalid,2016,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United
Kamran Akmal †,107,61,11,7,175.40,not out,2018,Sharjah Cricket Stadium,Peshawar Zalmi,Lahore Qalandars
Kamran Akmal †,49,36,5,3,136.11,c Rossouw b Mohammad Nawaz,2019,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,0,3,0,0,0.00,b Rahat Ali,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Quetta Gladiators
Kamran Akmal †,43,26,5,2,165.38,b Delport,2020,"National Stadium, Karachi",Peshawar Zalmi,Karachi Kings
Kamran Akmal †,77,27,5,8,285.18,c Mukhtar Ahmed b Bopara,2018,"Gaddafi Stadium, Lahore",Peshawar Zalmi,Karachi Kings
Kamran Akmal †,1,9,0,0,11.11,lbw b Patel,2018,"National Stadium, Karachi",Peshawar Zalmi,Islamabad United
Kamran Akmal †,101,55,13,4,183.63,c Roy b Fawad Ahmed,2020,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators
