names,position,batting_style,bowling_style
Babar Azam,Batter,Batting:Right hand Bat,Bowling:Right arm Offbreak
Sam Billings†,Wicketkeeper Batter,Batting:Right hand Bat,
Brad Haddin†,Wicketkeeper Batter,Batting:Right hand Bat,
Khalid Latif,Top order Batter,Batting:Right hand Bat,Bowling:Right arm Offbreak
Misbah-ul-Haq,Middle order Batter,Batting:Right hand Bat,Bowling:Legbreak
Sharjeel Khan,Opening Batter,Batting:Left hand Bat,Bowling:Legbreak
Umar Amin,Top order Batter,Batting:Left hand Bat,Bowling:Right arm Medium
Amad Butt,Bowling Allrounder,Batting:Right hand Bat,Bowling:Right arm Fast
Kamran Ghulam,Allrounder,Batting:Right hand Bat,Bowling:Slow Left arm Orthodox
Andre Russell,Allrounder,Batting:Right hand Bat,Bowling:Right arm Fast
Shane Watson,Allrounder,Batting:Right hand Bat,Bowling:Right arm Fast medium
Samuel Badree,Bowler,Batting:Right hand Bat,Bowling:Legbreak
Mohammad Irfan,Bowler,Batting:Right hand Bat,Bowling:Left arm Fast
Mohammad Sami,Bowler,Batting:Right hand Bat,Bowling:Right arm Fast
Rumman Raees,Bowler,Batting:Right hand Bat,Bowling:Left arm Medium fast
Imran Khalid,,Batting:Left hand Bat,Bowling:Slow Left arm Orthodox
Iftikhar Ahmed,Middle order Batter,Batting:Right hand Bat,Bowling:Right arm Offbreak
Mushfiqur Rahim†,Wicketkeeper Batter,Batting:Right hand Bat,
Nauman Anwar,Opening Batter,Batting:Right hand Bat,Bowling:Right arm Medium fast
Saifullah Bangash†,Wicketkeeper Batter,Batting:Right hand Bat,
Lendl Simmons,Top order Batter,Batting:Right hand Bat,Bowling:Right arm Medium fast
James Vince,Batter,Batting:Right hand Bat,Bowling:Right arm Medium
Shoaib Malik(c),Allrounder,Batting:Right hand Bat,Bowling:Right arm Offbreak
Ravi Bopara,Batting Allrounder,Batting:Right hand Bat,Bowling:Right arm Medium
Imad Wasim,Allrounder,Batting:Left hand Bat,Bowling:Slow Left arm Orthodox
Shakib Al Hasan,Allrounder,Batting:Left hand Bat,Bowling:Slow Left arm Orthodox
Bilawal Bhatti,Bowler,Batting:Right hand Bat,Bowling:Right arm Medium fast
Mir Hamza,Bowler,Batting:Left hand Bat,Bowling:Left arm Medium
Mohammad Amir,Bowler,Batting:Left hand Bat,Bowling:Left arm Fast medium
Sohail Khan,Bowler,Batting:Right hand Bat,Bowling:Right arm Fast medium
Sohail Tanvir,Bowler,Batting:Left hand Bat,Bowling:Left arm Medium fast
Usama Mir,Bowler,Batting:Right hand Bat,Bowling:Legbreak
Misbah-ul-Haq(c),Middle order Batter,Batting:Right hand Bat,Bowling:Legbreak
Asif Ali,Middle order Batter,Batting:Right hand Bat,Bowling:Right arm Offbreak
Ben Duckett,Top order Batter,Batting:Left hand Bat,Bowling:Right arm Offbreak
Nicholas Pooran†,Wicketkeeper Batter,Batting:Left hand Bat,Bowling:Right arm Offbreak
Hussain Talat,Allrounder,Batting:Left hand Bat,Bowling:Right arm Medium fast
Shadab Khan,Allrounder,Batting:Right hand Bat,Bowling:Legbreak
Dwayne Smith,Allrounder,Batting:Right hand Bat,Bowling:Right arm Medium
Zohaib Khan,Allrounder,Batting:Right hand Bat,Bowling:Slow Left arm Orthodox
Steven Finn,Bowler,Batting:Right hand Bat,Bowling:Right arm Fast medium
Saeed Ajmal,Bowler,Batting:Right hand Bat,Bowling:Right arm Offbreak
Azhar Ali,Top order Batter,Batting:Right hand Bat,Bowling:Legbreak
Cameron Delport,Top order Batter,Batting:Left hand Bat,Bowling:Right arm Medium
Hammad Azam,Middle order Batter,Batting:Right hand Bat,Bowling:Right arm Medium
Mohammad Rizwan†,Wicketkeeper Batter,Batting:Right hand Bat,Bowling:Right arm Medium
Naved Yasin,Middle order Batter,Batting:Left hand Bat,Bowling:Slow Left arm Orthodox
Sohaib Maqsood,Middle order Batter,Batting:Right hand Bat,Bowling:Right arm Offbreak
Umar Akmal,Middle order Batter,Batting:Right hand Bat,Bowling:Right arm Offbreak
Dwayne Bravo,Allrounder,Batting:Right hand Bat,Bowling:Right arm Medium
Kevon Cooper,Allrounder,Batting:Right hand Bat,Bowling:Right arm Medium
Chris Gayle,Allrounder,Batting:Left hand Bat,Bowling:Right arm Offbreak
Mustafizur Rahman,Bowler,Batting:Left hand Bat,Bowling:Left arm Fast medium
Yasir Shah,Bowler,Batting:Right hand Bat,Bowling:Legbreak Googly
Zafar Gohar,Bowler,Batting:Left hand Bat,Bowling:Slow Left arm Orthodox
Zia-ul-Haq,Bowler,Batting:Right hand Bat,Bowling:Left arm Fast medium
