names,playing_role,batting_style,bowling_style
Babar Azam,Batter,Right hand Bat,Right arm Offbreak
Sam Billings,Wicketkeeper Batter,Right hand Bat,No Info
Brad Haddin,Wicketkeeper Batter,Right hand Bat,No Info
Khalid Latif,Top order Batter,Right hand Bat,Right arm Offbreak
Misbah-ul-Haq,Middle order Batter,Right hand Bat,Legbreak
Sharjeel Khan,Opening Batter,Left hand Bat,Legbreak
Umar Amin,Top order Batter,Left hand Bat,Right arm Medium
Amad Butt,Allrounder,Right hand Bat,Right arm Fast
Kamran Ghulam,Allrounder,Right hand Bat,Slow Left arm Orthodox
Andre Russell,Allrounder,Right hand Bat,Right arm Fast
Shane Watson,Allrounder,Right hand Bat,Right arm Fast medium
Samuel Badree,Bowler,Right hand Bat,Legbreak
Mohammad Irfan,Bowler,Right hand Bat,Left arm Fast
Mohammad Sami,Bowler,Right hand Bat,Right arm Fast
Rumman Raees,Bowler,Right hand Bat,Left arm Medium fast
Imran Khalid,No Information,Left hand Bat,Slow Left arm Orthodox
Iftikhar Ahmed,Middle order Batter,Right hand Bat,Right arm Offbreak
Mushfiqur Rahim,Wicketkeeper Batter,Right hand Bat,No Info
Nauman Anwar,Opening Batter,Right hand Bat,Right arm Medium fast
Saifullah Bangash,Wicketkeeper Batter,Right hand Bat,No Info
Lendl Simmons,Top order Batter,Right hand Bat,Right arm Medium fast
James Vince,Batter,Right hand Bat,Right arm Medium
Shoaib Malik,Allrounder,Right hand Bat,Right arm Offbreak
Ravi Bopara,Allrounder,Right hand Bat,Right arm Medium
Imad Wasim,Allrounder,Left hand Bat,Slow Left arm Orthodox
Shakib Al Hasan,Allrounder,Left hand Bat,Slow Left arm Orthodox
Bilawal Bhatti,Bowler,Right hand Bat,Right arm Medium fast
Mir Hamza,Bowler,Left hand Bat,Left arm Medium
Mohammad Amir,Bowler,Left hand Bat,Left arm Fast medium
Sohail Khan,Bowler,Right hand Bat,Right arm Fast medium
Sohail Tanvir,Bowler,Left hand Bat,Left arm Medium fast
Usama Mir,Bowler,Right hand Bat,Legbreak
Misbah-ul-Haq,Middle order Batter,Right hand Bat,Legbreak
Asif Ali,Middle order Batter,Right hand Bat,Right arm Offbreak
Ben Duckett,Top order Batter,Left hand Bat,Right arm Offbreak
Nicholas Pooran,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak
Hussain Talat,Allrounder,Left hand Bat,Right arm Medium fast
Shadab Khan,Allrounder,Right hand Bat,Legbreak
Dwayne Smith,Allrounder,Right hand Bat,Right arm Medium
Zohaib Khan,Allrounder,Right hand Bat,Slow Left arm Orthodox
Steven Finn,Bowler,Right hand Bat,Right arm Fast medium
Saeed Ajmal,Bowler,Right hand Bat,Right arm Offbreak
Azhar Ali,Top order Batter,Right hand Bat,Legbreak
Cameron Delport,Top order Batter,Left hand Bat,Right arm Medium
Hammad Azam,Middle order Batter,Right hand Bat,Right arm Medium
